"store_id","city_name"
"36312",Indore
"36314",Lucknow
"36319",Delhi
"36321",Visakhapatnam
"36323",Bhopal
"36325",Meerut
"36327",Bhopal
"36329",Mumbai
"36333",Indore
"36335",Lucknow
"36339",Bhopal
"36341",Gurgaon
"36345",Jamshedpur
"36347",Kanpur
"36351",Visakhapatnam
"36353",Jaipur
"36355",Vadodara
"36357",Noida
"36359",Mumbai
"36363",Udaipur
"36365",Ranchi
"36371",Chennai
"36375",Bengaluru
"36377",Bengaluru
"36379",Kota
"36381",Prayagraj
"36383",Delhi
"36385",Bengaluru
"36387",Delhi
"36389",Goa
"36422",Lucknow
"36424",Delhi
"36426",Delhi
"36428",Gurgaon
"36430",Chennai
"36432",Noida
"36451",Delhi
"36455",Delhi
"36457",Mumbai
"36459",Mumbai
"36461",Pune
"36463",Nashik
"36465",Mumbai
"36467",Kolkata
"36469",Prayagraj
"36473",Chennai
"36475",Bengaluru
"36477",Haridwar
"36479",Ludhiana
"36483",Rajkot
"36517",Mumbai
"36519",Mumbai
"36521",Gurgaon
"36523",Gurgaon
"36527",Bengaluru
"36531",Kolkata
"36535",Bengaluru
"36550",Rishikesh
"36552",Hyderabad
"36554",Kolkata
"36590",Kochi
"36594",Guntur
"36598",Mumbai
"36600",Zirakpur
"36602",Chennai
"36604",Mohali
"36638",Ahmedabad
"36640",Dehradun
"36676",Vadodara
"36678",Bhopal
"36680",Anand
"36682",Nashik
"36688",Lucknow
"36690",Delhi
"36692",Coimbatore
"36726",Jamshedpur
"36728",Mumbai
"36730",Bengaluru
"36766",Ghaziabad
"36770",Mathura
"36772",Chandigarh
"36774",Dehradun
"36776",Delhi
"36778",Delhi
"36782",Delhi
"36784",Agra
"36818",Bengaluru
"36852",Ahmedabad
"36854",Kolkata
"36856",Pune
"36858",Mumbai
"36860",Hyderabad
"36862",Ahmedabad
"36864",Noida
"36866",Nagpur
"36868",Anand
"36870",Hyderabad
"36872",Hyderabad
"36906",Pune
"36908",Delhi
"36912",Mumbai
"36946",Faridabad
"36980",Udaipur
"37014",Delhi
"37016",Varanasi
"37022",Chennai
"37026",Delhi
"37028",Jaipur
"37030",Jaipur
"37032",Mumbai
"37066",Faridabad
"37068",Ludhiana
"37070",Mumbai
"37076",Lonavala
"37078",Pune
"37080",Phagwara
"37082",Jalandhar
"37086",Chennai
"37088",Hyderabad
"37122",Mumbai
"37124",Surat
"37126",Chennai
"37128",Mysore
"37162",Dehradun
"37164",Chennai
"37170",Bengaluru
"37210",Pune
"37244",Alwar
"37246",Mumbai
"37280",Noida
"37284",Pune
"37286",Ranchi
"37288",Noida
"37292",Jaipur
"37328",Manipal
"37330",Bengaluru
"37332",Bengaluru
"37338",Navsari
"37340",Mangaluru
"37414",Bengaluru
"37416",Kharar
"37418",Vellore
"37422",Mysore
"37424",Bengaluru
"37426",Hyderabad
"37428",Surat
"37430",Bengaluru
"37432",Mumbai
"37470",Mysore
"37472",Mumbai
"37474",Hyderabad
"37476",Pune
"37478",Mumbai
"37480",Mumbai
"37516",Bengaluru
"37550",Bokaro
"37584",Bengaluru
"37586",Delhi
"37588",Ghaziabad
"37634",Nagpur
"37636",Kolkata
"37672",Jaipur
"37674",Bengaluru
"37676",Bengaluru
"37678",Chandigarh
"37680",Kharar
"37682",Mumbai
"37684",Hyderabad
"37686",Jaipur
"37688",Bengaluru
"37690",Bengaluru
"37692",Mumbai
"37694",Kanpur
"37696",Kochi
"37698",Pune
"37700",Chennai
"37738",Amravati
"37748",Saharanpur
"37750",Bhubaneshwar
"37752",Aligarh
"37756",Barabanki
"37758",Muzaffarnagar
"37794",Bharuch
"37796",Nagpur
"37804",Rajkot
"37808",Bengaluru
"37810",Mumbai
"37812",Noida
"37814",Mumbai
"37864",Jodhpur
"37866",Ambala
"37870",Gurgaon
"37910",Kolkata
"37918",Mumbai
"37986",Mumbai
"38022",Ahmedabad
"38026",Mumbai
"38028",Kolkata
"38030",Delhi
"38032",Pune
"38034",Mohali
"38036",Jalandhar
"38038",Kota
"38042",Noida
"38044",Tiruchirapalli
"38078",Gurgaon
"38080",Pune
"38082",Dharwad
"38084",Bengaluru
"38087",Sonipat
"38089",Kanpur
"38090",Hyderabad
"38092",Noida
"38104",Udupi
"38106",Chennai
"38108",Bhubaneshwar
"38142",Chandigarh
"38144",Ludhiana
"38150",Bengaluru
"38188",Belgaum
"38192",Indore
"38196",Mumbai
"38198",Indore
"38200",Nagpur
"38202",Mumbai
"38206",Belgaum
"38218",Bengaluru
"38254",Ghaziabad
"38264",Pune
"38286",Mysore
"38288",Bhubaneshwar
"38326",Chennai
"38366",Chennai
"38404",Meerut
"38405",Thrissur
"38406",Madurai
"38408",Ahmedabad
"38452",Erode
"38456",Kurukshetra
"38458",Yamunanagar
"38476",Nellore
"38516",Durgigudi
"38518",Mathura
"38524",Mumbai
"38606",Kozhikode
